Period,consumer_sentiment,current_conditions,future_expectations,country_economic_conditions,city_economic_conditions,household_income,household_budget,discretionary_spending,household_spending,job_prospect,consumer_outlook,Country 
01/08/2019,6,-7,12,15,15,9,8,7,11,-21,Neutral,Cameroon
01/09/2019,7,-4,12,10,10,18,2,3,18,-11,Neutral,Cameroon
01/10/2019,20,11,23,26,21,23,18,11,29,12,Positive,Cameroon
01/11/2019,15,2,20,20,19,18,18,17,24,-13,Neutral,Cameroon
01/12/2019,10,1,14,17,14,10,14,8,13,-6,Neutral,Cameroon
01/01/2020,14,6,18,20,23,11,17,18,18,-6,Neutral,Cameroon
01/02/2020,-2,-2,-3,2,-3,-5,-4,-8,-2,5,Negative,Cameroon
01/03/2020,11,5,13,17,11,16,11,5,10,5,Neutral,Cameroon
01/04/2020,4,2,5,12,4,3,2,5,4,-1,Neutral,Cameroon
01/05/2020,14,3,18,17,17,14,23,18,21,-12,Neutral,Cameroon
01/06/2020,10,1,14,12,14,12,17,14,16,-13,Neutral,Cameroon
01/07/2020,4,-1,5,6,-1,7,4,9,9,-11,Neutral,Cameroon
01/08/2020,-2,-9,1,-1,-4,1,8,2,1,-20,Negative,Cameroon
01/09/2020,-2,-4,-2,-16,-8,0,11,12,4,-19,Negative,Cameroon
01/10/2020,4,3,5,-10,-4,-2,20,22,21,-17,Neutral,Cameroon
01/11/2020,-3,-3,-3,-6,-8,-4,0,9,6,-16,Negative,Cameroon
01/12/2020,0,0,0,-9,-8,-4,14,14,7,-13,Neutral,Cameroon
01/01/2021,0,0,0,-5,-3,-7,12,17,1,-16,Neutral,Cameroon
01/02/2021,6,0,8,6,7,10,15,7,6,-7,Neutral,Cameroon
01/03/2021,1,-6,4,3,3,6,12,8,-5,-21,Neutral,Cameroon
01/04/2021,6,5,7,11,8,5,11,27,-1,-17,Neutral,Cameroon
01/05/2021,11,3,15,15,13,9,15,25,23,-19,Neutral,Cameroon
01/06/2021,10,4,12,20,18,16,10,3,-5,5,Neutral,Cameroon
01/07/2021,14,0,20,25,22,25,13,13,15,-14,Neutral,Cameroon
01/08/2021,6,5,6,6,8,12,15,11,-12,0,Neutral,Cameroon
01/09/2021,11,9,12,15,13,13,18,18,1,0,Neutral,Cameroon
01/10/2021,12,5,15,5,15,27,26,32,0,-22,Neutral,Cameroon
01/11/2021,10,7,11,-1,13,18,21,29,4,-15,Neutral,Cameroon
01/12/2021,14,5,18,4,21,20,22,41,22,-31,Neutral,Cameroon
01/01/2022,3,-11,9,2,10,12,9,22,11,-45,Neutral,Cameroon
01/02/2022,5,-2,8,-18,18,12,10,28,18,-31,Neutral,Cameroon
01/03/2022,14,1,19,10,43,0,18,10,25,-8,Neutral,Cameroon
01/04/2022,10,7,11,7,21,4,16,22,8,-8,Neutral,Cameroon
01/05/2022,4,-5,7,7,4,20,8,11,-4,-22,Neutral,Cameroon
01/06/2022,-1,-12,3,1,7,-9,10,8,8,-31,Negative,Cameroon
01/07/2022,4,5,4,4,4,8,5,23,-4,-13,Neutral,Cameroon
01/08/2022,13,0,18,15,17,15,25,26,16,-27,Neutral,Cameroon
01/09/2022,4,-6,8,9,7,6,11,15,8,-26,Neutral,Cameroon
01/10/2022,2,4,1,8,5,-4,-8,12,3,-3,Neutral,Cameroon
01/11/2022,0,-1,1,2,2,-11,14,15,-3,-17,Neutral,Cameroon
01/12/2022,-10,-16,-8,-11,-10,-8,-11,-5,0,-27,Negative,Cameroon
01/01/2023,-6,-17,-1,4,6,2,-4,-11,-14,-23,Negative,Cameroon
01/02/2023,4,-16,12,13,21,18,6,-9,1,-23,Neutral,Cameroon
01/03/2023,-4,-12,-1,-6,-4,-6,13,0,-2,-25,Negative,Cameroon
01/04/2023,2,-12,8,10,3,2,18,8,5,-32,Neutral,Cameroon
01/05/2023,1,-4,3,6,6,4,-1,5,2,-12,Neutral,Cameroon
01/06/2023,-4,-5,-3,-6,0,-4,-4,7,0,-17,Negative,Cameroon
01/07/2023,-12,-24,-8,-15,-14,-20,10,-4,-1,-43,Negative,Cameroon
01/08/2023,3,-14,10,11,9,6,14,14,10,-42,Neutral,Cameroon
01/09/2023,3,-13,9,6,6,1,18,19,14,-45,Neutral,Cameroon
01/10/2023,7,-21,19,15,12,14,23,17,29,-58,Neutral,Cameroon
01/04/2021,-10,-29,-3,-1,-2,-1,2,-2,-15,-56,Negative,Congo
01/05/2021,-8,-21,-2,0,-1,2,-4,-6,-8,-36,Negative,Congo
01/06/2021,-7,-22,-1,2,2,1,-3,-4,-7,-39,Negative,Congo
01/07/2021,-7,-28,2,11,10,9,-5,-8,-15,-48,Negative,Congo
01/08/2021,-6,-10,-4,2,3,5,-10,-9,-20,-11,Negative,Congo
01/09/2021,-15,-16,-15,-13,-14,-11,-19,-15,-21,-16,Negative,Congo
01/10/2021,-23,-28,-21,-16,-18,-19,-26,-25,-28,-30,Negative,Congo
01/11/2021,-27,-33,-24,-15,-22,-22,-29,-28,-33,-38,Negative,Congo
01/12/2021,-26,-42,-19,-16,-18,-15,-20,-33,-28,-51,Negative,Congo
01/01/2022,-8,-33,2,6,8,7,-1,-12,-8,-54,Negative,Congo
01/02/2022,-11,-33,-3,-6,2,1,-3,-16,-8,-50,Negative,Congo
01/03/2022,-12,-27,-6,-3,-2,-2,-7,-15,-17,-40,Negative,Congo
01/04/2022,-8,-27,-1,6,3,3,-6,-18,-10,-37,Negative,Congo
01/05/2022,-3,-20,4,8,9,9,2,-7,-8,-33,Negative,Congo
01/06/2022,-20,-44,-11,-10,-9,-5,-11,-21,-19,-67,Negative,Congo
01/07/2022,-11,-30,-4,-4,-4,-3,-1,-2,-5,-58,Negative,Congo
01/08/2022,-17,-28,-12,-17,-18,-12,-8,-3,-6,-53,Negative,Congo
01/09/2022,-18,-42,-8,4,0,-3,-2,-23,-40,-62,Negative,Congo
01/10/2022,-1,-11,3,5,7,7,2,-1,-5,-20,Negative,Congo
01/11/2022,-12,-20,-9,-11,-6,-26,1,7,-1,-47,Negative,Congo
01/12/2022,4,-7,9,21,8,9,-16,10,22,-24,Neutral,Congo
01/01/2023,25,10,31,38,39,29,9,51,39,-30,Positive,Congo
01/02/2023,28,8,36,33,42,35,30,46,39,-30,Positive,Congo
01/03/2023,-6,-26,2,-6,-7,-19,52,-13,-8,-40,Negative,Congo
01/04/2023,0,-26,11,23,15,13,10,8,-8,-59,Neutral,Congo
