Period,consumer_sentiment,current_conditions,future_expectations,country_economic_conditions,city_economic_conditions,household_income,household_budget,discretionary_spending,household_spending,job_prospect,consumer_outlook,Country 
01/07/2018,18,-15,31,34,30,35,30,14,25,-45,Positive,Ivory Coast
01/08/2018,16,-13,27,34,27,32,25,13,19,-39,Positive,Ivory Coast
01/09/2018,18,-9,29,31,33,28,27,18,25,-37,Positive,Ivory Coast
01/10/2018,15,-9,24,25,29,24,18,16,25,-33,Neutral,Ivory Coast
01/11/2018,18,-14,30,35,36,27,25,16,30,-43,Positive,Ivory Coast
01/12/2018,20,-9,31,31,35,30,27,21,34,-39,Positive,Ivory Coast
01/01/2019,13,-11,23,23,26,22,21,8,21,-31,Neutral,Ivory Coast
01/02/2019,15,-7,23,28,25,22,23,17,18,-31,Neutral,Ivory Coast
01/03/2019,17,-6,26,29,31,26,24,18,21,-31,Positive,Ivory Coast
01/04/2019,15,-8,24,27,26,21,19,15,26,-31,Neutral,Ivory Coast
01/05/2019,18,-7,28,31,30,26,28,16,24,-30,Positive,Ivory Coast
01/06/2019,14,-6,22,28,28,24,17,14,13,-25,Neutral,Ivory Coast
01/07/2019,14,-13,24,26,30,28,21,7,17,-32,Neutral,Ivory Coast
01/08/2019,18,-8,28,27,31,29,25,16,29,-33,Positive,Ivory Coast
01/09/2019,16,-10,26,33,30,20,21,14,27,-34,Positive,Ivory Coast
01/10/2019,15,-6,23,29,26,27,20,21,15,-33,Neutral,Ivory Coast
01/11/2019,17,-1,24,22,23,27,29,26,16,-28,Positive,Ivory Coast
01/12/2019,15,-4,23,21,26,20,23,22,25,-30,Neutral,Ivory Coast
01/01/2020,10,-2,15,16,15,15,18,15,12,-20,Neutral,Ivory Coast
01/02/2020,9,-3,13,13,14,16,16,11,8,-17,Neutral,Ivory Coast
01/03/2020,7,-6,12,12,13,12,16,9,7,-21,Neutral,Ivory Coast
01/04/2020,7,-8,13,10,12,14,17,8,11,-24,Neutral,Ivory Coast
01/05/2020,14,-8,23,26,26,26,23,19,15,-36,Neutral,Ivory Coast
01/06/2020,13,-8,22,26,23,20,22,19,19,-35,Neutral,Ivory Coast
01/07/2020,14,-5,21,24,22,23,20,22,16,-32,Neutral,Ivory Coast
01/08/2020,13,-8,22,25,23,26,22,16,14,-33,Neutral,Ivory Coast
01/09/2020,-4,-8,-2,-2,-2,-3,1,2,-3,-18,Negative,Ivory Coast
01/10/2020,1,-11,6,9,9,7,3,0,0,-22,Neutral,Ivory Coast
01/11/2020,6,-2,10,11,9,15,5,6,9,-10,Neutral,Ivory Coast
01/12/2020,9,-2,14,16,15,14,10,10,14,-13,Neutral,Ivory Coast
01/01/2021,4,-2,7,7,10,7,5,10,4,-13,Neutral,Ivory Coast
01/02/2021,-3,-14,2,1,3,5,3,1,-3,-29,Negative,Ivory Coast
01/03/2021,3,-10,8,7,8,8,10,14,8,-34,Neutral,Ivory Coast
01/04/2021,18,-10,29,27,32,33,23,22,29,-42,Positive,Ivory Coast
01/05/2021,6,-21,16,19,17,23,27,0,-6,-41,Neutral,Ivory Coast
01/06/2021,-2,-28,8,14,13,13,17,-12,-15,-43,Negative,Ivory Coast
01/07/2021,11,-8,19,19,21,24,26,12,4,-29,Neutral,Ivory Coast
01/08/2021,6,-15,15,17,16,18,19,8,2,-38,Neutral,Ivory Coast
01/09/2021,5,-15,12,15,14,14,13,5,5,-34,Neutral,Ivory Coast
01/10/2021,9,-17,20,31,26,25,22,3,-4,-37,Neutral,Ivory Coast
01/11/2021,6,-24,18,28,22,28,16,-6,-4,-42,Neutral,Ivory Coast
01/12/2021,17,-23,33,40,41,40,39,11,7,-56,Positive,Ivory Coast
01/01/2022,15,-19,28,39,36,30,28,21,8,-60,Neutral,Ivory Coast
01/02/2022,8,-11,16,-27,31,29,39,15,6,-37,Neutral,Ivory Coast
01/03/2022,10,-9,17,21,15,10,24,14,16,-31,Neutral,Ivory Coast
01/04/2022,10,-12,19,12,30,9,47,6,-4,-31,Neutral,Ivory Coast
01/05/2022,13,-14,23,18,30,28,34,3,7,-31,Neutral,Ivory Coast
01/06/2022,0,-16,6,10,8,-7,25,5,-4,-37,Neutral,Ivory Coast
01/07/2022,5,-8,10,11,15,6,14,16,2,-32,Neutral,Ivory Coast
01/08/2022,3,-30,16,27,21,14,32,-8,-12,-53,Neutral,Ivory Coast
01/09/2022,11,-24,24,30,28,28,41,5,-5,-52,Neutral,Ivory Coast
01/10/2022,22,-9,35,42,45,36,44,16,9,-34,Positive,Ivory Coast
01/11/2022,18,-22,34,42,38,33,58,2,0,-46,Positive,Ivory Coast
01/12/2022,16,-24,32,36,42,37,41,-3,2,-45,Positive,Ivory Coast
01/01/2023,1,-23,11,11,14,5,3,20,21,-66,Neutral,Ivory Coast
01/02/2023,15,-30,33,47,45,38,41,-8,-7,-52,Neutral,Ivory Coast
01/03/2023,14,-24,29,39,40,30,48,-12,-10,-36,Neutral,Ivory Coast
01/04/2023,11,-36,30,46,33,30,49,-18,-9,-54,Neutral,Ivory Coast
01/05/2023,13,-31,31,43,44,28,41,-9,-3,-52,Neutral,Ivory Coast
01/06/2023,23,-17,38,55,51,44,34,7,8,-41,Positive,Ivory Coast
01/07/2023,14,-24,30,42,36,32,43,-7,-6,-41,Neutral,Ivory Coast
01/08/2023,11,-24,25,39,35,28,34,-13,-10,-34,Neutral,Ivory Coast
01/09/2023,14,-17,26,37,39,35,34,0,-12,-33,Neutral,Ivory Coast
01/10/2023,14,-16,25,36,39,30,45,-10,-23,-22,Neutral,Ivory Coast
01/06/2016,11,-21,24,28,25,28,31,7,10,-49,Neutral,Kenya
01/07/2016,10,-18,21,27,23,25,25,6,7,-41,Neutral,Kenya
01/08/2016,1,-18,8,6,5,17,12,2,1,-37,Neutral,Kenya
01/09/2016,4,-20,14,16,18,20,11,2,3,-42,Neutral,Kenya
01/10/2016,4,-19,14,16,14,21,13,6,4,-45,Neutral,Kenya
01/11/2016,7,-23,19,18,19,25,18,4,13,-49,Neutral,Kenya
01/12/2016,4,-26,16,13,16,27,12,-4,13,-48,Neutral,Kenya
01/01/2017,3,-30,16,13,15,29,18,-12,5,-49,Neutral,Kenya
01/02/2017,1,-30,13,10,16,21,13,-14,7,-46,Neutral,Kenya
01/03/2017,0,-32,13,12,17,22,15,-3,2,-61,Neutral,Kenya
01/04/2017,-1,-27,10,3,6,14,19,-3,7,-52,Negative,Kenya
01/05/2017,0,-29,12,7,11,16,17,-7,10,-50,Neutral,Kenya
01/06/2017,3,-30,17,14,22,24,15,-8,7,-52,Neutral,Kenya
01/07/2017,-1,-34,12,10,12,24,20,-16,-5,-53,Negative,Kenya
01/08/2017,6,-22,17,18,22,21,18,2,7,-46,Neutral,Kenya
01/09/2017,0,-29,12,12,13,21,14,-8,0,-50,Neutral,Kenya
01/10/2017,-7,-30,2,-7,-5,13,10,-11,-1,-50,Negative,Kenya
01/11/2017,2,-23,12,14,15,17,16,-3,0,-42,Neutral,Kenya
01/12/2017,7,-24,19,23,24,27,22,-1,1,-47,Neutral,Kenya
01/01/2018,8,-21,19,18,23,27,17,3,13,-46,Neutral,Kenya
01/02/2018,3,-18,12,14,12,20,11,-2,2,-35,Neutral,Kenya
01/03/2018,9,-19,20,20,23,26,19,3,11,-40,Neutral,Kenya
01/04/2018,7,-20,18,24,21,22,12,-5,11,-35,Neutral,Kenya
01/05/2018,12,-16,23,25,24,29,26,10,13,-41,Neutral,Kenya
01/06/2018,11,-18,23,24,24,27,23,5,18,-41,Neutral,Kenya
01/07/2018,4,-19,13,12,20,18,14,-1,2,-38,Neutral,Kenya
01/08/2018,7,-17,16,14,16,25,17,5,10,-40,Neutral,Kenya
01/09/2018,-3,-28,7,4,7,19,7,-8,-2,-47,Negative,Kenya
01/10/2018,10,-18,21,18,19,25,23,10,18,-46,Neutral,Kenya
01/11/2018,2,-22,11,16,14,21,15,-3,-12,-41,Neutral,Kenya
01/12/2018,9,-16,20,24,26,30,16,5,3,-38,Neutral,Kenya
01/01/2019,14,-14,24,29,28,33,23,9,9,-37,Neutral,Kenya
01/02/2019,11,-20,23,27,28,28,25,4,9,-44,Neutral,Kenya
01/03/2019,7,-17,17,17,20,22,19,5,8,-40,Neutral,Kenya
01/04/2019,11,-20,23,19,30,31,24,7,11,-48,Neutral,Kenya
01/05/2019,13,-18,25,22,28,31,27,12,16,-48,Neutral,Kenya
01/06/2019,12,-15,23,22,25,30,24,11,11,-41,Neutral,Kenya
01/07/2019,12,-19,24,27,28,33,24,6,9,-44,Neutral,Kenya
01/08/2019,5,-23,16,18,15,19,18,-1,10,-46,Neutral,Kenya
01/09/2019,9,-21,20,22,23,27,22,1,8,-43,Neutral,Kenya
01/10/2019,8,-18,18,19,23,23,16,4,12,-41,Neutral,Kenya
01/11/2019,4,-26,17,26,20,22,20,-4,-5,-47,Neutral,Kenya
01/12/2019,6,-17,15,9,11,25,23,3,5,-37,Neutral,Kenya
01/01/2020,5,-23,16,17,20,23,18,-1,1,-44,Neutral,Kenya
01/02/2020,6,-26,18,18,17,23,23,-2,10,-51,Neutral,Kenya
01/03/2020,-32,-51,-24,-39,-39,-24,-8,-33,-10,-69,Negative,Kenya
01/04/2020,-33,-56,-23,-32,-34,-20,-8,-41,-23,-72,Negative,Kenya
01/05/2020,-28,-49,-19,-28,-25,-16,-12,-29,-15,-70,Negative,Kenya
01/06/2020,-27,-51,-17,-22,-22,-17,-5,-31,-19,-71,Negative,Kenya
01/07/2020,-20,-43,-11,-22,-19,-8,1,-21,-9,-64,Negative,Kenya
01/08/2020,-16,-47,-3,-4,-1,-1,2,-24,-12,-69,Negative,Kenya
01/09/2020,-9,-39,3,1,4,14,3,-18,-8,-60,Negative,Kenya
01/10/2020,-8,-39,5,4,8,8,5,-17,1,-61,Negative,Kenya
01/11/2020,-7,-36,4,3,2,8,6,-11,1,-61,Negative,Kenya
01/12/2020,-1,-32,12,11,14,18,18,0,-2,-63,Negative,Kenya
01/01/2021,-5,-32,6,13,10,13,5,-10,-11,-53,Negative,Kenya
01/02/2021,2,-30,15,15,15,24,14,-1,9,-60,Neutral,Kenya
01/03/2021,-7,-43,7,4,7,16,10,-17,-4,-69,Negative,Kenya
01/04/2021,-7,-44,8,9,9,15,8,-15,-1,-74,Negative,Kenya
01/05/2021,2,-41,19,25,23,30,18,-12,-3,-71,Neutral,Kenya
01/06/2021,2,-33,16,20,17,25,15,-1,4,-64,Neutral,Kenya
01/07/2021,-2,-39,13,13,12,18,15,-14,8,-65,Negative,Kenya
01/08/2021,3,-38,20,21,22,29,25,-6,3,-69,Neutral,Kenya
01/09/2021,6,-31,20,22,24,30,23,1,3,-63,Neutral,Kenya
01/10/2021,17,-21,33,37,40,46,29,11,12,-54,Positive,Kenya
01/11/2021,19,-20,35,39,41,48,37,10,11,-50,Positive,Kenya
01/12/2021,19,-27,38,40,42,52,37,10,17,-64,Positive,Kenya
01/01/2022,14,-29,31,34,34,50,31,3,8,-61,Neutral,Kenya
01/02/2022,2,-32,15,-34,31,40,30,-5,9,-58,Neutral,Kenya
01/03/2022,3,-38,20,17,20,32,25,-14,6,-63,Neutral,Kenya
01/04/2022,-1,-38,14,12,9,26,23,-16,0,-59,Negative,Kenya
01/05/2022,3,-38,20,18,21,32,23,-11,4,-64,Neutral,Kenya
01/06/2022,-9,-46,5,3,2,13,10,-17,-1,-74,Negative,Kenya
01/07/2022,-1,-49,18,21,21,34,20,-25,-6,-73,Negative,Kenya
01/08/2022,6,-41,25,30,30,37,24,-9,3,-73,Neutral,Kenya
01/09/2022,9,-37,28,36,36,42,20,-7,5,-68,Neutral,Kenya
01/10/2022,7,-33,23,25,27,37,23,-3,6,-63,Neutral,Kenya
01/11/2022,6,-37,23,31,24,30,21,-8,7,-66,Neutral,Kenya
01/12/2022,9,-37,28,32,35,41,27,-7,4,-67,Neutral,Kenya
01/01/2023,7,-35,24,25,27,35,24,-9,7,-60,Neutral,Kenya
01/02/2023,1,-36,15,16,16,24,20,-11,1,-62,Neutral,Kenya
01/03/2023,-5,-45,11,11,13,20,14,-22,-6,-68,Negative,Kenya
01/04/2023,2,-44,20,24,23,31,26,-20,-2,-68,Neutral,Kenya
01/05/2023,-10,-48,5,3,5,12,12,-28,-5,-69,Negative,Kenya
01/06/2023,-13,-50,2,-10,-5,7,21,-24,-2,-76,Negative,Kenya
01/07/2023,-7,-48,10,5,7,17,18,-24,2,-72,Negative,Kenya
01/08/2023,-2,-47,16,16,17,24,29,-22,-5,-71,Negative,Kenya
01/09/2023,-7,-49,9,3,9,15,25,-28,-7,-69,Negative,Kenya
01/10/2023,-5,-52,14,8,11,24,28,-28,0,-76,Negative,Kenya
01/08/2021,-45,-37,-49,-49,-47,-46,-47,-41,-54,-33,Negative,Morocco
01/09/2021,39,12,50,60,62,62,35,28,29,-4,Positive,Morocco
01/10/2021,18,-26,36,49,50,53,73,-31,-47,-22,Positive,Morocco
01/11/2021,43,10,56,73,70,71,63,17,1,3,Positive,Morocco
01/12/2021,19,-6,29,35,36,33,75,0,-33,-13,Positive,Morocco
01/01/2022,11,-10,20,22,18,29,65,0,-35,-19,Neutral,Morocco
01/02/2022,2,-32,15,-12,23,25,72,-22,-31,-41,Neutral,Morocco
01/03/2022,8,-15,17,22,20,27,50,-2,-35,-28,Neutral,Morocco
01/04/2022,-43,-69,-33,-73,-31,-75,95,-70,-83,-67,Negative,Morocco
01/05/2022,35,-25,59,93,93,93,68,-27,-54,-23,Positive,Morocco
01/06/2022,41,-22,67,96,96,95,86,-19,-40,-25,Positive,Morocco
01/07/2022,32,-27,55,93,94,94,50,-10,-54,-43,Positive,Morocco
01/08/2022,36,-29,62,96,96,96,68,-4,-48,-54,Positive,Morocco
01/09/2022,38,-31,65,99,99,98,68,12,-40,-73,Positive,Morocco
01/10/2022,43,-19,67,84,85,84,75,16,10,-54,Positive,Morocco
01/11/2022,18,-23,35,48,52,47,49,-2,-20,-45,Positive,Morocco
01/12/2022,9,1,12,9,10,14,17,11,9,-10,Neutral,Morocco
01/01/2023,9,11,9,32,31,2,2,23,-24,-2,Neutral,Morocco
01/02/2023,16,24,13,20,21,21,18,29,-14,19,Positive,Morocco
01/03/2023,-7,-8,-7,-3,-7,-5,-5,-9,-15,-6,Negative,Morocco
01/04/2023,11,5,14,17,16,8,13,14,15,-4,Neutral,Morocco
01/05/2023,33,16,40,40,41,38,38,52,43,-20,Positive,Morocco
01/06/2023,4,6,3,5,11,9,3,15,-12,-3,Neutral,Morocco
01/07/2023,-37,-57,-29,-59,-48,-61,90,-38,-67,-76,Negative,Morocco
01/08/2023,0,-2,1,4,1,1,1,-3,-3,-1,Neutral,Morocco
01/09/2023,0,0,0,0,0,0,0,0,-1,0,Neutral,Morocco
01/10/2023,26,1,36,62,62,57,1,2,0,0,Positive,Morocco
01/03/2022,12,-20,24,30,25,31,18,19,18,-59,Neutral,Mozambique
01/04/2022,28,-6,41,55,54,50,18,27,29,-38,Positive,Mozambique
01/05/2022,35,6,47,60,66,56,8,7,44,6,Positive,Mozambique
01/06/2022,23,-5,34,42,43,48,14,20,23,-31,Positive,Mozambique
01/07/2022,12,-31,29,48,53,60,12,10,-30,-72,Neutral,Mozambique
01/08/2022,14,-40,36,77,77,78,-3,-5,-51,-75,Neutral,Mozambique
01/09/2022,10,-43,32,56,48,72,-3,1,-14,-88,Neutral,Mozambique
01/10/2022,29,-22,50,63,55,72,8,17,52,-60,Positive,Mozambique
01/11/2022,22,-37,46,59,41,68,5,7,56,-82,Positive,Mozambique
01/12/2022,25,-27,46,54,54,51,18,17,51,-71,Positive,Mozambique
01/01/2023,23,-35,46,56,52,58,14,9,51,-80,Positive,Mozambique
01/02/2023,22,-26,41,50,42,56,13,14,43,-65,Positive,Mozambique
01/03/2023,34,-35,61,73,50,80,24,17,78,-88,Positive,Mozambique
01/04/2023,61,-14,91,93,94,94,87,65,86,-94,Positive,Mozambique
01/05/2023,64,-5,92,97,94,95,84,81,91,-92,Positive,Mozambique
01/06/2023,70,1,98,100,99,98,97,98,96,-95,Positive,Mozambique
01/07/2023,48,33,54,56,67,33,57,63,58,3,Positive,Mozambique
01/08/2023,63,-6,90,92,90,96,84,80,89,-92,Positive,Mozambique
01/09/2023,65,-2,92,93,94,92,90,88,92,-93,Positive,Mozambique
01/10/2023,27,-4,39,33,51,33,23,27,57,-36,Positive,Mozambique
01/02/2022,-21,-50,-9,-17,-5,-1,15,-48,-38,-52,Negative,Namibia
01/03/2022,-2,-25,8,3,5,9,13,15,10,-65,Negative,Namibia
01/04/2022,10,-15,21,13,19,53,7,18,11,-48,Neutral,Namibia
01/05/2022,5,-24,16,14,15,29,11,10,12,-57,Neutral,Namibia
01/06/2022,-1,-22,7,5,3,10,7,6,8,-50,Negative,Namibia
01/07/2022,-4,-9,-2,-13,-5,-1,0,7,8,-25,Negative,Namibia
01/08/2022,-5,-1,-7,-4,-3,-6,-22,3,2,-5,Negative,Namibia
01/09/2022,-32,-30,-32,-33,-24,-33,-40,-21,-32,-38,Negative,Namibia
01/10/2022,22,-2,31,44,41,40,12,17,19,-22,Positive,Namibia
01/11/2022,16,-6,25,28,28,25,24,12,20,-24,Positive,Namibia
01/12/2022,16,1,22,22,24,24,13,20,28,-18,Positive,Namibia
01/01/2023,17,-5,25,26,31,30,18,22,22,-32,Positive,Namibia
01/02/2023,14,-2,20,24,26,21,9,9,18,-12,Neutral,Namibia
01/03/2023,5,-14,13,13,14,1,17,9,19,-37,Neutral,Namibia
01/04/2023,41,-3,59,77,72,62,75,5,10,-11,Positive,Namibia
01/05/2023,53,14,68,84,90,83,51,26,34,2,Positive,Namibia
01/06/2023,76,50,86,88,89,86,87,93,81,8,Positive,Namibia
01/07/2023,40,21,48,49,47,45,52,41,49,1,Positive,Namibia
01/08/2023,23,-5,34,40,36,33,31,30,33,-40,Positive,Namibia
01/09/2023,38,14,48,52,56,37,49,48,44,-21,Positive,Namibia
01/10/2023,30,1,42,43,39,33,41,48,51,-46,Positive,Namibia
01/06/2016,17,-42,41,59,59,65,25,-20,-5,-65,Positive,Nigeria
01/07/2016,21,-38,44,59,63,69,35,-13,-4,-63,Positive,Nigeria
01/08/2016,26,-25,46,63,62,64,26,-2,17,-48,Positive,Nigeria
01/09/2016,10,-39,30,43,43,46,10,-20,6,-59,Neutral,Nigeria
01/10/2016,8,-35,26,35,35,42,12,-14,4,-57,Neutral,Nigeria
01/11/2016,9,-27,24,36,38,42,12,-13,-8,-42,Neutral,Nigeria
01/12/2016,18,-30,37,52,58,63,18,-4,-6,-55,Positive,Nigeria
01/01/2017,13,-22,27,37,40,43,8,6,5,-50,Neutral,Nigeria
01/02/2017,14,-33,33,52,55,55,12,-5,-9,-62,Neutral,Nigeria
01/03/2017,9,-40,29,42,45,45,2,-12,11,-67,Neutral,Nigeria
01/04/2017,19,-32,39,57,53,53,15,0,19,-65,Positive,Nigeria
01/05/2017,15,-46,40,56,62,62,13,-12,5,-79,Neutral,Nigeria
01/06/2017,15,-34,35,49,49,54,16,-3,7,-65,Neutral,Nigeria
01/07/2017,25,-33,49,61,65,70,25,4,23,-70,Positive,Nigeria
01/08/2017,26,-31,48,63,61,68,23,8,27,-70,Positive,Nigeria
01/09/2017,23,-27,42,58,52,60,17,11,23,-64,Positive,Nigeria
01/10/2017,22,-34,44,58,59,65,18,4,22,-72,Positive,Nigeria
01/11/2017,29,-27,52,69,68,71,25,4,26,-57,Positive,Nigeria
01/12/2017,21,-35,43,53,62,67,17,3,17,-73,Positive,Nigeria
01/01/2018,24,-31,46,61,59,66,19,7,28,-69,Positive,Nigeria
01/02/2018,21,-31,43,59,48,68,13,3,25,-66,Positive,Nigeria
01/03/2018,25,-25,45,57,53,57,27,10,29,-61,Positive,Nigeria
01/04/2018,20,-35,41,51,50,60,16,1,30,-71,Positive,Nigeria
01/05/2018,28,-19,46,63,55,59,24,13,31,-51,Positive,Nigeria
01/06/2018,24,-8,37,46,43,51,20,9,24,-26,Positive,Nigeria
01/07/2018,20,-12,33,42,33,48,21,7,20,-32,Positive,Nigeria
01/08/2018,18,-14,31,42,35,46,16,12,14,-40,Positive,Nigeria
01/09/2018,28,-9,43,52,45,59,23,20,33,-38,Positive,Nigeria
01/10/2018,25,-13,40,48,42,54,26,18,32,-44,Positive,Nigeria
01/11/2018,20,-28,40,49,38,59,16,4,38,-61,Positive,Nigeria
01/12/2018,22,-25,40,49,44,56,23,9,30,-59,Positive,Nigeria
01/01/2019,20,-16,34,38,38,46,21,10,27,-42,Positive,Nigeria
01/02/2019,24,-28,44,55,43,62,21,6,40,-62,Positive,Nigeria
01/03/2019,21,-23,39,53,42,52,20,11,29,-57,Positive,Nigeria
01/04/2019,24,-26,44,53,44,59,24,11,38,-62,Positive,Nigeria
01/05/2019,28,-22,48,58,50,63,24,12,43,-57,Positive,Nigeria
01/06/2019,29,-25,51,60,54,66,27,12,46,-62,Positive,Nigeria
01/07/2019,23,-27,43,49,42,57,23,8,44,-62,Positive,Nigeria
01/08/2019,24,-27,44,52,43,59,24,11,44,-64,Positive,Nigeria
01/09/2019,17,-17,31,36,33,40,20,8,26,-42,Positive,Nigeria
01/10/2019,24,-26,44,56,42,61,16,10,45,-62,Positive,Nigeria
01/11/2019,24,-24,44,53,39,59,21,15,47,-64,Positive,Nigeria
01/12/2019,23,-20,40,44,39,52,22,17,41,-56,Positive,Nigeria
01/01/2020,22,-20,39,50,32,52,19,13,42,-53,Positive,Nigeria
01/02/2020,24,-15,40,50,32,48,22,16,45,-46,Positive,Nigeria
01/03/2020,21,-22,38,45,36,53,24,10,34,-53,Positive,Nigeria
01/04/2020,-27,-51,-17,-10,-15,-7,-33,-31,-21,-70,Negative,Nigeria
01/05/2020,6,-33,22,31,33,37,5,-7,3,-59,Neutral,Nigeria
01/06/2020,9,-33,25,28,24,31,15,0,29,-67,Neutral,Nigeria
01/07/2020,16,-34,36,42,36,53,7,1,43,-69,Positive,Nigeria
01/08/2020,17,-29,35,44,37,46,15,6,31,-63,Positive,Nigeria
01/09/2020,15,-26,31,35,26,41,14,8,39,-60,Neutral,Nigeria
01/10/2020,22,-31,43,44,41,49,32,9,49,-71,Positive,Nigeria
01/11/2020,17,-31,36,38,39,43,23,12,39,-74,Positive,Nigeria
01/12/2020,21,-30,41,45,40,46,31,18,43,-78,Positive,Nigeria
01/01/2021,27,-27,48,52,50,55,30,18,55,-72,Positive,Nigeria
01/02/2021,27,-23,46,49,53,50,34,29,45,-74,Positive,Nigeria
01/03/2021,18,-30,37,45,36,44,24,15,36,-74,Positive,Nigeria
01/04/2021,13,-26,28,33,28,38,11,18,29,-69,Neutral,Nigeria
01/05/2021,13,-27,29,35,29,35,10,12,35,-66,Neutral,Nigeria
01/06/2021,13,-22,27,32,27,32,13,8,29,-52,Neutral,Nigeria
01/07/2021,23,-22,40,48,42,49,23,28,40,-72,Positive,Nigeria
01/08/2021,33,-20,54,60,55,65,42,36,47,-77,Positive,Nigeria
01/09/2021,28,-28,50,56,50,66,29,20,48,-76,Positive,Nigeria
01/10/2021,33,-21,55,59,59,64,36,40,55,-82,Positive,Nigeria
01/11/2021,36,-21,59,63,63,66,49,40,55,-83,Positive,Nigeria
01/12/2021,41,-14,64,71,71,74,52,49,50,-76,Positive,Nigeria
01/01/2022,30,-20,50,56,57,64,31,30,40,-71,Positive,Nigeria
01/02/2022,12,-22,26,-47,46,58,28,24,42,-67,Neutral,Nigeria
01/03/2022,27,-24,47,53,52,59,29,22,44,-70,Positive,Nigeria
01/04/2022,26,-17,44,46,50,50,27,25,45,-60,Positive,Nigeria
01/05/2022,27,-25,47,51,51,61,27,25,47,-75,Positive,Nigeria
01/06/2022,25,-22,44,49,46,55,28,20,43,-65,Positive,Nigeria
01/07/2022,23,-20,40,49,47,50,16,19,38,-59,Positive,Nigeria
01/08/2022,22,-24,40,47,48,55,9,22,41,-71,Positive,Nigeria
01/09/2022,27,-25,48,55,57,64,18,21,44,-71,Positive,Nigeria
01/10/2022,31,-18,50,58,55,63,29,31,46,-66,Positive,Nigeria
01/11/2022,38,-17,60,64,67,67,48,39,53,-74,Positive,Nigeria
01/12/2022,25,-28,46,52,55,57,18,12,46,-68,Positive,Nigeria
01/01/2023,21,-26,40,46,52,54,10,13,37,-64,Positive,Nigeria
01/02/2023,10,-37,28,37,38,45,-12,-11,33,-63,Neutral,Nigeria
01/03/2023,10,-42,31,38,44,38,-3,-18,39,-67,Neutral,Nigeria
01/04/2023,14,-41,36,47,44,45,1,-12,44,-70,Neutral,Nigeria
01/05/2023,6,-35,22,31,34,31,-8,-16,24,-54,Neutral,Nigeria
01/06/2023,11,-21,24,30,33,33,-3,0,26,-42,Neutral,Nigeria
01/07/2023,8,-41,28,39,40,39,-10,-15,32,-67,Neutral,Nigeria
01/08/2023,19,-22,35,50,47,48,-1,-2,32,-43,Positive,Nigeria
01/09/2023,13,-35,32,41,47,47,0,-9,24,-60,Neutral,Nigeria
01/10/2023,22,-36,45,61,57,61,17,-11,28,-61,Positive,Nigeria
01/05/2021,-18,-57,-2,-1,7,18,26,-56,-63,-57,Negative,Senegal
01/06/2021,-15,-55,1,-6,1,23,38,-43,-53,-68,Negative,Senegal
01/07/2021,-14,-46,-1,-11,-3,23,39,-23,-51,-70,Negative,Senegal
01/08/2021,1,-42,19,4,18,43,49,-1,-19,-83,Neutral,Senegal
01/09/2021,1,-37,16,0,10,34,48,5,-12,-79,Neutral,Senegal
01/10/2021,2,-37,17,8,13,42,44,-9,-24,-64,Neutral,Senegal
01/11/2021,10,-22,22,9,18,55,53,2,-24,-46,Neutral,Senegal
01/12/2021,7,-24,19,9,16,44,47,6,-22,-54,Neutral,Senegal
01/01/2022,-6,-40,7,-3,1,35,36,-16,-33,-65,Negative,Senegal
01/02/2022,-3,-31,8,-12,13,33,30,-14,-23,-49,Negative,Senegal
01/03/2022,-1,-50,18,15,17,39,65,-26,-45,-73,Negative,Senegal
01/04/2022,6,-22,17,16,13,23,41,19,-6,-63,Neutral,Senegal
01/05/2022,6,-17,15,13,5,24,51,18,-16,-52,Neutral,Senegal
01/06/2022,-5,-41,9,3,1,21,45,-29,-26,-54,Negative,Senegal
01/07/2022,-11,-40,0,-4,0,9,30,-24,-34,-56,Negative,Senegal
01/08/2022,-4,-29,6,-5,2,16,41,-17,-26,-42,Negative,Senegal
01/09/2022,-13,-41,-1,-11,-9,10,45,-22,-40,-60,Negative,Senegal
01/10/2022,-8,-44,6,-2,1,20,50,-35,-39,-52,Negative,Senegal
01/11/2022,-9,-48,6,6,8,20,41,-33,-42,-63,Negative,Senegal
01/12/2022,-4,-50,14,14,18,26,45,-31,-33,-70,Negative,Senegal
01/01/2023,-6,-42,9,5,11,23,41,-28,-35,-57,Negative,Senegal
01/03/2023,-9,-47,6,-1,3,24,44,-30,-41,-64,Negative,Senegal
01/04/2023,-4,-42,11,4,7,32,49,-19,-36,-66,Negative,Senegal
01/05/2023,-29,-55,-19,-48,-35,6,36,-32,-52,-79,Negative,Senegal
01/06/2023,-12,-46,1,-12,-2,24,39,-24,-42,-69,Negative,Senegal
01/07/2023,-12,-46,1,-16,3,18,43,-24,-44,-68,Negative,Senegal
01/08/2023,-1,-27,10,4,8,17,49,-8,-29,-47,Negative,Senegal
01/09/2023,-3,-29,7,0,7,20,41,-10,-30,-49,Negative,Senegal
01/10/2023,1,-21,10,-5,6,28,54,7,-32,-49,Neutral,Senegal
01/07/2016,14,-43,37,52,56,59,12,-18,7,-67,Neutral,South Africa
01/08/2016,12,-36,31,46,44,47,6,1,11,-74,Neutral,South Africa
01/09/2016,14,-37,34,53,56,50,12,2,-1,-75,Neutral,South Africa
01/10/2016,1,-30,14,26,28,30,-3,-3,-10,-58,Neutral,South Africa
01/11/2016,7,-28,22,40,31,32,9,3,-2,-60,Neutral,South Africa
