Month,ICS -Consumer Sentiment,ICC - Current Conditions,ICE - Future Expectations,Country Economic Conditions,City Economic Conditions,Household Income,Household Budget,Discretionary Spending,Household Spending,Job Prospect,Country 
Aug-22,9,-8,15,16,18,21,8,8,14,-24,Tanzania
Sep-22,22,-39,47,53,54,52,33,-22,40,-55,Tanzania
Oct-22,29,-33,54,62,66,64,23,5,53,-71,Tanzania
Nov-22,22,-27,42,52,56,43,31,12,28,-66,Tanzania
Dec-22,20,-24,37,45,49,47,17,14,25,-61,Tanzania
Jan-23,12,-42,33,42,44,36,4,-17,39,-68,Tanzania
Feb-23,8,-33,25,27,28,27,9,-10,34,-57,Tanzania
Mar-23,24,-38,49,58,57,54,38,-6,35,-69,Tanzania
Apr-23,35,-32,62,76,74,71,40,3,49,-67,Tanzania
May-23,37,-24,62,67,67,67,52,4,57,-53,Tanzania
Jun-23,30,-29,53,63,61,57,54,-7,30,-50,Tanzania
Jul-23,24,-19,41,48,47,47,21,8,41,-46,Tanzania
Aug-23,16,-25,32,38,42,42,6,4,35,-55,Tanzania
Sep-23,15,-18,28,29,25,28,11,13,49,-48,Tanzania
Oct-23,17,-22,33,27,30,31,14,26,61,-71,Tanzania
Jul-21,-15,-33,-8,-7,-13,4,-6,1,-19,-66,Tunisia
Aug-21,-5,-24,3,8,7,5,-1,3,-4,-52,Tunisia
Sep-21,1,-7,4,9,9,11,0,-1,-7,-12,Tunisia
Oct-21,1,-14,7,12,9,9,-4,15,11,-42,Tunisia
Nov-21,-5,-4,-6,-2,-5,-12,-5,8,-4,-15,Tunisia
Dec-21,-17,-36,-9,-16,-19,-16,35,-24,-29,-49,Tunisia
Jan-22,-7,-10,-6,-2,-3,-4,-15,-4,-5,-16,Tunisia
Feb-22,-6,-16,-3,-11,-2,-2,-4,-7,6,-24,Tunisia
Mar-22,0,-12,4,-1,-6,11,9,8,8,-32,Tunisia
Apr-22,7,21,2,-10,11,-7,20,37,-6,4,Tunisia
May-22,14,-4,21,11,35,12,10,20,35,-27,Tunisia
Jun-22,-6,-8,-5,-6,-9,-15,4,-9,-2,-6,Tunisia
Jul-22,7,22,1,6,13,-6,-24,15,18,28,Tunisia
Aug-22,19,32,14,27,37,-2,-29,11,39,53,Tunisia
Sep-22,-21,-17,-23,-25,-31,-23,-12,-18,-25,-16,Tunisia
Oct-22,-17,-10,-20,-28,-23,-23,-22,1,-6,-21,Tunisia
Nov-22,-17,-24,-14,-17,-28,-34,12,-4,-2,-43,Tunisia
Dec-22,-34,-30,-36,-58,-54,-39,-20,2,-6,-62,Tunisia
Jan-23,-39,-30,-42,-45,-54,-51,-44,-6,-18,-54,Tunisia
Feb-23,-26,-21,-28,-25,-28,-33,-35,-3,-16,-40,Tunisia
Mar-23,-25,-30,-23,-23,-32,-33,-3,-3,-26,-58,Tunisia
Apr-23,-41,-41,-41,-33,-47,-59,-20,-7,-48,-75,Tunisia
May-23,-44,-24,-53,-59,-62,-53,-48,9,-41,-57,Tunisia
Jun-23,-42,-28,-47,-56,-55,-49,-45,6,-32,-61,Tunisia
Jul-23,5,-11,11,4,-1,-9,56,25,5,-47,Tunisia
Aug-23,-34,-8,-44,-50,-61,-65,-23,15,-22,-30,Tunisia
Sep-23,-33,-13,-40,-48,-51,-59,-34,25,-9,-51,Tunisia
Oct-23,-30,-17,-35,-45,-57,-50,-8,17,-14,-51,Tunisia
Jul-22,-3,-16,2,-1,1,4,12,-16,-9,-16,Uganda
Aug-22,-7,-18,-3,6,0,-1,2,-14,-21,-22,Uganda
Sep-22,8,-12,16,18,15,16,34,13,-2,-37,Uganda
Oct-22,-11,-28,-4,-11,-16,-5,38,19,-25,-75,Uganda
Nov-22,-9,-31,0,-6,-9,-7,25,7,-5,-68,Uganda
Dec-22,1,-17,7,0,3,5,38,23,-8,-57,Uganda
Jan-23,9,-5,14,16,10,11,45,30,-10,-41,Uganda
Feb-23,2,-7,6,7,9,0,53,42,-40,-55,Uganda
Mar-23,-8,-19,-4,-8,-3,-1,37,29,-44,-67,Uganda
Apr-23,4,-14,12,21,14,5,56,26,-38,-53,Uganda
May-23,-8,-29,1,13,14,11,26,17,-60,-75,Uganda
Jun-23,-3,-18,4,8,9,8,47,32,-54,-68,Uganda
Jul-23,23,19,24,26,29,18,24,43,25,-5,Uganda
Aug-23,0,-10,4,-1,2,8,56,48,-45,-68,Uganda
Sep-23,-7,-14,-4,-8,-6,-8,42,40,-42,-69,Uganda
Oct-23,16,7,19,15,8,14,76,36,-17,-23,Uganda
Feb-22,2,-27,13,-38,46,42,14,20,2,-73,Zambia
Mar-22,-6,-30,4,9,9,11,2,-9,-10,-52,Zambia
Apr-22,-30,-49,-23,-8,-15,-15,-22,-40,-53,-58,Zambia
May-22,15,-21,30,43,47,46,14,-11,0,-31,Zambia
Jun-22,-6,-33,5,12,13,28,6,-9,-32,-57,Zambia
Jul-22,7,-20,18,33,34,28,9,-12,-13,-29,Zambia
Aug-22,24,-5,35,41,44,45,24,12,21,-22,Zambia
Sep-22,27,-30,50,77,75,75,16,-18,8,-42,Zambia
Oct-22,18,-4,26,43,43,43,15,-3,-13,-4,Zambia
Nov-22,20,-18,35,37,40,34,34,18,29,-54,Zambia
Dec-22,14,-5,21,28,24,23,17,19,15,-29,Zambia
Jan-23,8,-6,13,11,14,23,10,15,7,-26,Zambia
Feb-23,15,0,20,26,19,26,16,30,15,-30,Zambia
Mar-23,9,-14,18,24,25,12,21,8,10,-37,Zambia
May-23,41,25,47,46,51,48,45,56,45,-6,Zambia
Jun-23,46,29,53,52,57,57,50,60,48,-2,Zambia
Jul-23,41,20,49,51,48,48,52,42,47,-1,Zambia
Aug-23,28,3,39,41,47,42,36,35,26,-30,Zambia
Sep-23,21,8,27,32,35,26,25,30,15,-15,Zambia
Oct-23,31,19,36,39,48,28,33,56,30,-18,Zambia
